family,accession,trait,cpg,region_id,k_iv,method,beta,se,lo,hi,p,Qp,mean_F,p_bh
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg18129748,106528,4,ivw_fe,0.008663219225414489,0.012658179816739164,-0.01614681321539427,0.03347325166622325,0.49372456307802903,0.3355901453157133,93.81870373504762,0.7275940929570954
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg19490609,12268,24,ivw_re,0.0011488071387320165,0.022643685472278335,-0.04323281638693352,0.04553043066439755,0.9595373989847381,0.0,193.27971619765344,0.9972279397678887
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg24308560,106528,29,ivw_fe,-0.003919476064280416,0.0018296050478434195,-0.007505501958053518,-0.0003334501705073139,0.03217316553795182,0.16063697842195834,576.5815219388185,0.14413578161002413
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg25753631,12268,29,ivw_re,-0.0007206992436174287,0.01612723911343421,-0.03233008790594848,0.030888689418713623,0.9643557426303561,0.0,333.18061369475754,0.9972279397678887
MCHC,GCST90018965,Mean corpuscular hemoglobin concentration,cg27360567,106528,20,ivw_fe,-0.0034734557389294795,0.002827040504906311,-0.009014455128545849,0.0020675436506868905,0.21920141205231483,0.17104632681264798,355.26006743156677,0.4463737845428956
MCV,GCST90018966,Mean corpuscular volume,cg00387872,12268,58,ivw_re,0.007785817518898074,0.01420360853515628,-0.020053255210008235,0.03562489024780438,0.5835836177841318,0.0,736.7876238675574,0.8170170648977845
MCV,GCST90018966,Mean corpuscular volume,cg15445000,84604,15,ivw_re,0.020735233443876615,0.01204674539945229,-0.002876387539049872,0.0443468544268031,0.08520888731730838,0.0,410.97954938698894,0.2726684394153868
MCV,GCST90018966,Mean corpuscular volume,cg18129748,106528,4,ivw_re,0.08893719255980759,0.06740113651326722,-0.04316903500619615,0.22104342012581132,0.1869951057283507,5.154821014485833e-12,93.81870373504762,0.41065591846226035
MCV,GCST90018966,Mean corpuscular volume,cg19490609,12268,24,ivw_re,0.006861467377205073,0.03177289958961444,-0.05541341581843923,0.06913635057284938,0.8290240305499862,0.0,193.27971619765344,0.9801843002727477
MCV,GCST90018966,Mean corpuscular volume,cg24308560,106528,29,ivw_re,-5.9088631930133646e-06,0.007746399805636956,-0.015188852482241446,0.01517703475585542,0.9993913830457115,0.0,576.5815219388185,0.9993913830457115
