set,go_id,term,n_term,n_hit,n_cand,n_univ,p,OR,p_bh
all,GO:0048660,regulation of smooth muscle cell proliferation,150,2,155,35143,0.142058883232455,3.04949891067525,0.29061188684125
all,GO:0070820,tertiary granule,151,2,155,35143,0.1435700976316,3.02921698480704,0.292034630409732
all,GO:0048659,smooth muscle cell proliferation,153,2,155,35143,0.146602736519908,2.9894485027125,0.296518529232357
all,GO:0003735,structural constituent of ribosome,156,2,155,35143,0.151176341535833,2.93170772582525,0.302721643045705
all,GO:0045178,basal part of cell,304,3,155,35143,0.151360821522852,2.26188105955674,0.302721643045705
all,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,157,2,155,35143,0.152707217819424,2.91295116772812,0.303717688774188
all,GO:0002768,immune response-regulating cell surface receptor signaling pathway,309,3,155,35143,0.15658729627503,2.2249616760347,0.307758857530254
all,GO:0050790,regulation of catalytic activity,473,4,155,35143,0.157198282175875,1.9416714503731,0.307758857530254
all,GO:0031396,regulation of protein ubiquitination,160,2,155,35143,0.157318075217979,2.858088235294,0.307758857530254
all,GO:0043068,positive regulation of programmed cell death,479,4,155,35143,0.162211354954046,1.91701807020694,0.31560687539972
all,GO:0051168,nuclear export,164,2,155,35143,0.163506341887724,2.78805993942281,0.316006071250248
all,GO:0007254,JNK cascade,165,2,155,35143,0.165060268561473,2.77108338284798,0.316006071250248
all,GO:0050900,leukocyte migration,317,3,155,35143,0.165064623809487,2.16831313299016,0.316006071250248
all,GO:0097190,apoptotic signaling pathway,491,4,155,35143,0.172409747972257,1.86951888968315,0.324891891585426
all,GO:0032640,tumor necrosis factor production,171,2,155,35143,0.174437356005762,2.67339372396122,0.324891891585426
all,GO:0032680,regulation of tumor necrosis factor production,171,2,155,35143,0.174437356005762,2.67339372396122,0.324891891585426
all,GO:0032271,regulation of protein polymerization,173,2,155,35143,0.177582198233278,2.64233631795676,0.324891891585426
all,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",329,3,155,35143,0.178028447422695,2.08850583906571,0.324891891585426
all,GO:0000398,"mRNA splicing, via spliceosome",329,3,155,35143,0.178028447422695,2.08850583906571,0.324891891585426
all,GO:0031401,positive regulation of protein modification process,330,3,155,35143,0.179121400227839,2.08211722488034,0.324891891585426
all,GO:0043484,regulation of RNA splicing,176,2,155,35143,0.182316017872034,2.59707367795593,0.324891891585426
