bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
2546,T-cells,0.0515463917525773,0.0857142857142857,0.144508670520231,0.138461538461538,0.103448275862069,0.0526315789473684,0.0510948905109489,0.0714285714285714,0.0815450643776824,0.0531914893617021,0.0717703349282297,0.0507246376811594,0.0676156583629893,0.105263157894737,,0.037037037037037,0.032258064516129
2562,Placenta-HIGH,0.0814814814814815,0.152173913043478,0.0841121495327103,0.147286821705426,0.238461538461538,0.0793650793650794,0.1,0.138888888888889,0.10952380952381,0.121621621621622,0.0778443113772455,0.264550264550265,0.281385281385281,,,0.0909090909090909,0.161290322580645
2575,Placenta-HIGH,0.0321285140562249,0.104,0.129496402877698,0.199115044247788,0.313492063492064,0.18125,0.114678899082569,0.294605809128631,0.109958506224066,0.122340425531915,0.0774410774410774,0.136518771331058,0.200680272108844,0.349206349206349,0.571428571428571,0.245614035087719,0.0405405405405405
2583,T-cells,0.0533980582524272,0.00636942675159236,0,0.0065359477124183,0.0099009900990099,0.014218009478673,0.021505376344086,0.0202020202020202,0.0118110236220472,0.0197368421052632,0.0232558139534884,0.00531914893617021,0.0307167235494881,0.0135135135135135,0.027027027027027,0.0697674418604651,0
2586,Placenta-HIGH,0.0271317829457364,0.0727272727272727,0.0578947368421053,0.140625,0.236286919831224,0.11304347826087,0.120567375886525,0.189473684210526,0.20327868852459,0.136986301369863,0.104545454545455,0.28310502283105,0.240853658536585,0.05,0.128571428571429,0.0512820512820513,0.284403669724771
2588,Placenta-HIGH,0.138461538461538,0.117021276595745,0.114093959731544,0.128654970760234,0.169491525423729,0.139072847682119,0.124087591240876,0.391608391608392,0.0930232558139535,0.0454545454545455,0.103030303030303,0.312925170068027,0.176991150442478,,0.0285714285714286,0.277777777777778,0.422535211267606
2589,B-cells,0.0602409638554217,0.0306122448979592,0.0491803278688525,0.036144578313253,0.0188679245283019,0.00806451612903226,0.0412371134020619,0.0543478260869565,0.0164835164835165,0.0305343511450382,0.0458715596330275,0.0229885057471264,0.032520325203252,0,0.0338983050847458,,0.0153846153846154
2631,Placenta-HIGH,0.127659574468085,0.18,0.114754098360656,0.181818181818182,0.0769230769230769,0.038961038961039,0.0447761194029851,0.137254901960784,0.0467289719626168,0.0204081632653061,0.0588235294117647,0.0317460317460317,0.0943396226415094,,,,
2658,Placenta-HIGH,0.178571428571429,0.30672268907563,0.141379310344828,0.391167192429022,0.367816091954023,0.21875,0.0948275862068965,0.350574712643678,0.272241992882562,0.268421052631579,0.355670103092784,0.275510204081633,0.394736842105263,0.262626262626263,,0.121951219512195,0.117021276595745
2680,Placenta-HIGH,0.339449541284404,0.24812030075188,0.330578512396694,0.365671641791045,0.422764227642276,0.241379310344828,0.297872340425532,0.295081967213115,0.305555555555556,0.372413793103448,0.348314606741573,0.376623376623377,0.4,,,,0.304878048780488
2692,Placenta-HIGH,0.0540540540540541,0.0797872340425532,0.139751552795031,0.203883495145631,0.151029748283753,0.0996168582375479,0.110429447852761,0.157706093189964,0.166666666666667,0.11734693877551,0.159663865546218,0.285234899328859,0.196864111498258,0.225806451612903,0.454545454545455,0.278846153846154,0.186915887850467
2702,Neutrophils,0.64,0.605504587155963,0.729411764705882,0.677777777777778,0.718446601941748,0.45360824742268,0.59375,0.7125,0.709090909090909,0.625,0.8,0.726495726495727,0.788079470198676,,,,0.863636363636364
