motif_id,tf,cand_hit,cand_n,hypo_hit,hypo_n,hyper_hit,hyper_n,bg_hit,bg_n,or,p_fisher,p_bh
MA1973.2,ZKSCAN3,0,166,0,61,0,105,3,2458,0,1,1
MA1726.1,ZNF331,5,166,4,61,1,105,80,2458,0.923136645962733,1,1
MA0752.2,ZNF410,0,166,0,61,0,105,3,2458,0,1,1
MA2555.1,ZNF493,1,166,1,61,0,105,19,2458,0.77799043062201,1,1
MA2334.1,ZNF547,0,166,0,61,0,105,6,2458,0,1,1
MA1983.1,ZNF582,0,166,0,61,0,105,3,2458,0,1,1
MA1983.2,ZNF582,0,166,0,61,0,105,6,2458,0,1,1
MA2569.1,ZNF676,0,166,0,61,0,105,3,2458,0,1,1
MA2526.1,ZNF721,1,166,0,61,1,105,16,2458,0.925,1,1
MA1719.2,ZNF816,1,166,1,61,0,105,19,2458,0.77799043062201,1,1
MA1631.1,ASCL1,61,166,24,61,37,105,911,2458,0.986534943285767,1,1
MA1466.1,ATF6,0,166,0,61,0,105,4,2458,0,1,1
MA1466.2,ATF6,0,166,0,61,0,105,4,2458,0,1,1
MA1101.2,BACH2,0,166,0,61,0,105,2,2458,0,1,1
MA1470.1,BACH2,0,166,0,61,0,105,0,2458,,1,1
MA1470.2,BACH2,0,166,0,61,0,105,0,2458,,1,1
MA1471.1,BARX2,46,166,15,61,31,105,692,2458,0.978275529865125,1,1
MA0462.1,BATF::JUN,24,166,11,61,13,105,361,2458,0.981779875931489,1,1
MA0463.2,BCL6,0,166,0,61,0,105,8,2458,0,1,1
MA0731.1,BCL6B,0,166,0,61,0,105,0,2458,,1,1
MA0607.2,BHLHA15,6,166,2,61,4,105,98,2458,0.903061224489796,1,1
MA0817.2,BHLHE23,10,166,4,61,6,105,147,2458,1.00776207919065,1,1
MA0466.2,CEBPB,7,166,3,61,4,105,103,2458,1.00659461439824,1,1
MA0018.1,CREB1,11,166,2,61,9,105,166,2458,0.979867858530898,1,1
MA0018.4,CREB1,26,166,11,61,15,105,388,2458,0.99079528718704,1,1
MA0638.1,CREB3,0,166,0,61,0,105,10,2458,0,1,1
MA0839.2,CREB3L1,0,166,0,61,0,105,4,2458,0,1,1
MA2541.1,CREB3L3,1,166,1,61,0,105,21,2458,0.703318903318903,1,1
MA0609.3,CREM,4,166,0,61,4,105,72,2458,0.818244170096022,1,1
MA1929.1,CTCF,0,166,0,61,0,105,0,2458,,1,1
MA1930.1,CTCF,0,166,0,61,0,105,0,2458,,1,1
MA1929.2,CTCF,0,166,0,61,0,105,1,2458,0,1,1
MA1930.2,CTCF,0,166,0,61,0,105,0,2458,,1,1
MA0755.1,CUX2,18,166,4,61,14,105,275,2458,0.965454545454545,1,1
MA1479.1,DMRTC2,7,166,3,61,4,105,108,2458,0.957954810156068,1,1
MA0864.1,E2F2,0,166,0,61,0,105,0,2458,,1,1
MA0864.2,E2F2,0,166,0,61,0,105,2,2458,0,1,1
MA0469.2,E2F3,0,166,0,61,0,105,0,2458,,1,1
MA0469.3,E2F3,0,166,0,61,0,105,0,2458,,1,1
MA0469.4,E2F3,0,166,0,61,0,105,0,2458,,1,1
MA0470.1,E2F4,48,166,14,61,34,105,710,2458,1.00148006684173,1,1
MA0758.1,E2F7,0,166,0,61,0,105,0,2458,,1,1
MA0865.1,E2F8,0,166,0,61,0,105,9,2458,0,1,1
MA0865.2,E2F8,2,166,0,61,2,105,36,2458,0.820460704607046,1,1
MA0162.3,EGR1,0,166,0,61,0,105,2,2458,0,1,1
MA0732.1,EGR3,0,166,0,61,0,105,9,2458,0,1,1
MA0732.2,EGR3,1,166,0,61,1,105,24,2458,0.614646464646465,1,1
MA0598.2,EHF,1,166,0,61,1,105,21,2458,0.703318903318903,1,1
MA0028.3,ELK1,11,166,3,61,8,105,169,2458,0.961213972132086,1,1
MA1931.1,ELK1::HOXA1,0,166,0,61,0,105,1,2458,0,1,1
MA1932.1,ELK1::HOXB13,0,166,0,61,0,105,1,2458,0,1,1
MA1932.2,ELK1::HOXB13,0,166,0,61,0,105,2,2458,0,1,1
MA1933.1,ELK1::SREBF2,0,166,0,61,0,105,2,2458,0,1,1
MA0612.2,EMX1,93,166,27,61,66,105,1374,2458,1.00508464437399,1,1
MA1934.1,ERF::FIGLA,0,166,0,61,0,105,14,2458,0,1,1
MA1936.1,ERF::FOXO1,6,166,2,61,4,105,98,2458,0.903061224489796,1,1
MA1936.2,ERF::FOXO1,15,166,6,61,9,105,235,2458,0.939692827955474,1,1
MA1938.1,ERF::NHLH1,0,166,0,61,0,105,0,2458,,1,1
MA1938.2,ERF::NHLH1,0,166,0,61,0,105,0,2458,,1,1
MA1939.1,ERF::SREBF2,0,166,0,61,0,105,0,2458,,1,1
MA1939.2,ERF::SREBF2,0,166,0,61,0,105,0,2458,,1,1
MA0112.2,ESR1,0,166,0,61,0,105,0,2458,,1,1
MA0141.3,ESRRB,11,166,5,61,6,105,166,2458,0.979867858530898,1,1
MA0098.1,ETS1,166,166,61,61,105,105,2447,2458,Inf,1,1
MA0761.1,ETV1,13,166,8,61,5,105,202,2458,0.948941953018831,1,1
MA1940.1,ETV2::DRGX,0,166,0,61,0,105,13,2458,0,1,1
MA1941.1,ETV2::FIGLA,0,166,0,61,0,105,4,2458,0,1,1
MA1942.1,ETV2::FOXI1,2,166,1,61,1,105,38,2458,0.776636713735558,1,1
MA1944.2,ETV5::DRGX,3,166,2,61,1,105,49,2458,0.904845373732315,1,1
MA1945.1,ETV5::FIGLA,0,166,0,61,0,105,10,2458,0,1,1
MA1948.1,ETV5::HOXA2,0,166,0,61,0,105,12,2458,0,1,1
MA1948.2,ETV5::HOXA2,2,166,1,61,1,105,30,2458,0.986991869918699,1,1
MA0156.1,FEV,120,166,40,61,80,105,1772,2458,1.00991265089803,1,1
MA0475.1,FLI1,34,166,7,61,27,105,504,2458,0.998617123617124,1,1
MA1949.1,FLI1::DRGX,0,166,0,61,0,105,1,2458,0,1,1
MA1949.2,FLI1::DRGX,0,166,0,61,0,105,1,2458,0,1,1
MA1950.1,FLI1::FOXI1,7,166,2,61,5,105,103,2458,1.00659461439824,1,1
MA2513.1,FLYWCH1,0,166,0,61,0,105,1,2458,0,1,1
MA1137.1,FOSL1::JUNB,24,166,6,61,18,105,362,2458,0.978600887090499,1,1
MA1139.2,FOSL2::JUNB,3,166,0,61,3,105,48,2458,0.924079754601227,1,1
MA0031.1,FOXD1,69,166,15,61,54,105,1030,2458,0.986207586828145,1,1
MA0031.2,FOXD1,69,166,15,61,54,105,1030,2458,0.986207586828145,1,1
MA0479.1,FOXH1,38,166,8,61,30,105,568,2458,0.98784110915493,1,1
MA0042.2,FOXI1,69,166,15,61,54,105,1030,2458,0.986207586828145,1,1
MA1103.1,FOXK2,82,166,23,61,59,105,1215,2458,0.998687046835195,1,1
MA1955.2,FOXO1::ELK3,4,166,1,61,3,105,68,2458,0.867828612926652,1,1
MA0481.3,FOXP1,83,166,24,61,59,105,1231,2458,0.996750609260764,1,1
MA2117.1,FOXP4,69,166,15,61,54,105,1030,2458,0.986207586828145,1,1
MA0482.3,GATA4,52,166,19,61,33,105,778,2458,0.98498173454201,1,1
MA1104.2,GATA6,22,166,9,61,13,105,324,2458,1.0062585733882,1,1
MA0767.1,GCM2,8,166,1,61,7,105,119,2458,0.995213275183491,1,1
MA0734.1,GLI2,0,166,0,61,0,105,13,2458,0,1,1
MA0734.2,GLI2,0,166,0,61,0,105,4,2458,0,1,1
MA1491.1,GLI3,0,166,0,61,0,105,7,2458,0,1,1
MA1491.2,GLI3,0,166,0,61,0,105,1,2458,0,1,1
MA1491.3,GLI3,0,166,0,61,0,105,1,2458,0,1,1
MA0735.1,GLIS1,0,166,0,61,0,105,0,2458,,1,1
MA0735.2,GLIS1,0,166,0,61,0,105,0,2458,,1,1
MA0736.1,GLIS2,0,166,0,61,0,105,4,2458,0,1,1
MA0737.1,GLIS3,0,166,0,61,0,105,1,2458,0,1,1
MA2629.1,GSC::TBX21,0,166,0,61,0,105,1,2458,0,1,1
MA0821.2,HES5,17,166,6,61,11,105,261,2458,0.960400113142534,1,1
